year,wk_81_cpue,wk_82_cpue,wk_83_cpue,wk_84_cpue,wk_91_cpue,wk_92_cpue,wks_83-84_cpue,wks_84-91_cpue,wk_83_cum_cpue,wk_84_cum_cpue,wk_91_cum_cpue,wk_92_cum_cpue,Somass_term_adult_return,Somass_term_return,areaF_est_catch_DNA,Somass_a2,Somass_a3,Somass_a4,Somass_a5,Somass_a6,Somass_a4_a5,areaF_JunJul_catch,areaF_JunJul_cpue,a4_a5_a6_return,SEAK_a2,SEAK_a3,SEAK_a4,SEAK_a5,SEAK_a6
1995,,,,,,,,,,,,,37099,39981,,2882,729,9293,27077,0,36370,36370,,,0,0,1848.49692,5039.53127,210.83104
1996,,,,,,,,,,,,,27818,30443,,2625,24663,556,2599,0,3155,3155,,,0,877.7917,0,226.04102,0
1997,,,,,,,,,,,,,52324,53499,,1175,29641,22085,598,0,22683,22683,,,0,981.27475,4684.53762,0,0
1998,,,,,,,,,,,,,70115,70501,,386,2394,63470,4251,0,67721,67721,,,0,344.11621,11307.23698,472.16825,0
1999,,,,,,,,,,,,,30330,30533,,203,2155,7005,21170,0,28175,28175,,,0,0,523.66354,1601.44469,0
2000,1.535714286,1.130434783,0.5,0.303030303,0.037735849,1.714285714,0.341463415,0.210526316,0.5,0.341463415,0.25,0.306010929,6441,9412,,2971,988,3041,2412,0,5453,5453,,,0,0,91.73737,113.3223,0
2001,0.019607843,0.066666667,0.191489362,0,0,0,0.1,0,0.191489362,0.1,0.06,0.055555556,40574,45186,,4612,35874,3388,1312,0,4700,4700,,,0,785.43277,36.53307,2.66182,0
2002,0.463768116,0.639534884,1.00990099,0.813888889,0.73255814,0.444444444,0.884341637,0.798206278,1.00990099,0.884341637,0.864197531,0.852852853,80862,83261,6811,2399,27805,52857,200,0,53057,53057,,,0,1083.93271,7088.9544,0,0
2003,0.712651894,0.844298246,1.024616482,1.451826196,1.148495313,0.962703963,1.251547081,1.333653661,1.024616482,1.251547081,1.225455908,1.200022563,92236,98721,7637,6485,25627,56928,9681,0,66609,66609,3951,2.94,0,1004.74029,12020.47978,1233.82908,0
2004,0.588235294,1.070351759,1.475471698,2.173469388,1.891812865,0.875,1.842576029,2.022012579,1.475471698,1.842576029,1.861265261,1.795854922,140071,143063,10065,2992,73407,36015,30649,0,66664,66664,7297,3.22,0,3378.64623,7808.93543,8048.9798,71.50337
