This Agency Report was generated on 8/18/2020 3:00:44 PM by the:
Alaska Department of Fish and Game
Mark, Tag, and Age Laboratory
dfg.dcf.cwtstaff@alaska.gov
(907) 465-3483
PO BOX 115526
Juneau, AK 99811-5526
 
Criteria for this report included:
"Years: 2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995"
"States: "
"Agencies: CDFO"
"Rearing codes: "
"Release Location: %%ROBERTSON%%"
"Release Site: %%%"
"Species codes: 410"
"Clip Status: "
"Tag Status codes: "
"Tag codes: "
"Source codes: "
"Gear codes: "
"Harvest codes: "
"Sampling Type codes: "
"StatWeek CWT: 1,54"
"Does NOT include records with null Status Week values"

Year,Survey Site,Sample,Head,Sampling Type Code,Source,Harvest,Gear Class,Date (CWT),Stat Week (CWT),Period,Region,Water Type Code,Quadrant,Seine Area,District,Sub-District,A-Stream / Canada Watershed,Species,Clip Status,Length,Length Type Code,Tag Code,Tag Status,Why Status-7 Code,Year Brood,State,Agency,Rearing Code,Location (Facility or Wild Stock),Site,Tag Ratio Type,Tag Ratio,Expansion Factor,Contribution,Year Release,Release Stage
"1995","ELFIN COVE","95020068","009914","R","COM PROP","TRAD","TROLL","7/10/1995","28","4","1","S","NW",,"114","21",,"CHIN","GOOD","930","01","020647","OK",,"1989","BC","CDFO","H","H-ROBERTSON CREEK H","R-ROBERTSON CR","SINGLE INDEX","56.784","3.88954","220.86364","1990","SMOLT",
"1995","SITKA","95030006","030007","R","COM PROP","TRAD","TROLL","2/3/1995","5","1","1","S","NW",,"113","41",,"CHIN","GOOD","850","01","021208","OK",,"1990","BC","CDFO","H","H-ROBERTSON CREEK H","R-ROBERTSON CR","SINGLE INDEX","68.065","2.95327","201.01432","1991","SMOLT",
"1995","CRAIG","95070004","099011","R","COM PROP","TRAD","TROLL","3/30/1995","13","1","1","S","NE",,"109","61",,"CHIN","GOOD","837","01","021208","OK",,"1990","BC","CDFO","H","H-ROBERTSON CREEK H","R-ROBERTSON CR","SINGLE INDEX","68.065","2.03143","138.26928","1991","SMOLT",
"1995","SITKA","95030440","030904","R","COM PROP","TRAD","TROLL","7/5/1995","27","4","1","S","NW",,"113","45",,"CHIN","GOOD","884","01","021208","OK",,"1990","BC","CDFO","H","H-ROBERTSON CREEK H","R-ROBERTSON CR","SINGLE INDEX","68.065","3.88954","264.74154","1991","SMOLT",
"1995","CRAIG","95070014","099022","R","COM PROP","TRAD","TROLL","7/6/1995","27","4","1","S","SW",,"103","11",,"CHIN","GOOD","890","01","021208","OK",,"1990","BC","CDFO","H","H-ROBERTSON CREEK H","R-ROBERTSON CR","SINGLE INDEX","68.065","2.06113","140.29081","1991","SMOLT",
"1995","SITKA","95035142","012920","S","SPORT",,,"6/28/1995","26",,"1","S","NW",,"113","41",,"CHIN","QUESTIONABLE",,,"021208","OK",,"1990","BC","CDFO","H","H-ROBERTSON CREEK H","R-ROBERTSON CR","SINGLE INDEX","68.065",,,"1991","SMOLT",
"1995","SITKA","95030750","032705","R","COM PROP","TRAD","TROLL","8/3/1995","31","5","1","S","NE",,"109",,,"CHIN","GOOD","936","01","021209","OK",,"1990","BC","CDFO","H","H-ROBERTSON CREEK H","R-ROBERTSON CR","SINGLE INDEX","17.63","1.33934","23.61256","1991","SMOLT",
"1995","SITKA","95035038","012611","S","SPORT",,,"5/21/1995","21",,"1","S","NW",,"113","41",,"CHIN","UNKNOWN",,,"021209","OK",,"1990","BC","CDFO","H","H-ROBERTSON CREEK H","R-ROBERTSON CR","SINGLE INDEX","17.63",,,"1991","SMOLT",
"1995","CRAIG","95075037","012040","S","SPORT",,,"6/30/1995","26",,"1","S","SW",,"103","60",,"CHIN","UNKNOWN",,,"021209","OK",,"1990","BC","CDFO","H","H-ROBERTSON CREEK H","R-ROBERTSON CR","SINGLE INDEX","17.63",,,"1991","SMOLT",
"1995","SITKA","95035198","012889","S","SPORT",,,"8/7/1995","32",,"1","S","NW",,"113","41",,"CHIN","UNKNOWN",,,"021209","OK",,"1990","BC","CDFO","H","H-ROBERTSON CREEK H","R-ROBERTSON CR","SINGLE INDEX","17.63",,,"1991","SMOLT",
"1995","SITKA","95030045","030025","R","COM PROP","TRAD","TROLL","3/11/1995","10","1","1","S","NW",,"113","41",,"CHIN","GOOD","835","01","021549","OK",,"1990","BC","CDFO","H","H-ROBERTSON CREEK H","R-ROBERTSON CR","SINGLE INDEX","25.48","2.95327","75.24932","1991","SMOLT",
"1995","PETERSBURG","95050016","040017","R","COM PROP","TRAD","TROLL","3/30/1995","13","1","1","S","SE",,"105",,,"CHIN","GOOD","854","01","021549","OK",,"1990","BC","CDFO","H","H-ROBERTSON CREEK H","R-ROBERTSON CR","SINGLE INDEX","25.48","2.87661","73.29602","1991","SMOLT",
"1995","SITKA","95030091","030061","R","COM PROP","TRAD","TROLL","4/3/1995","14","1","1","S","NW",,"113","41",,"CHIN","GOOD","885","01","021549","OK",,"1990","BC","CDFO","H","H-ROBERTSON CREEK H","R-ROBERTSON CR","SINGLE INDEX","25.48","2.95327","75.24932","1991","SMOLT",
