This Agency Report was generated on 8/18/2020 8:23:41 AM by the:
Alaska Department of Fish and Game
Mark, Tag, and Age Laboratory
dfg.dcf.cwtstaff@alaska.gov
(907) 465-3483
PO BOX 115526
Juneau, AK 99811-5526
 
Criteria for this report included:
"Years: 2019"
"States: BC"
"Agencies: CDFO"
"Rearing codes: H"
"Release Location: %%ROBERTSON%%"
"Release Site: %%%"
"Species codes: 410"
"Clip Status: "
"Tag Status codes: "
"Tag codes: "
"Source codes: "
"Gear codes: "
"Harvest codes: "
"Sampling Type codes: "
"StatWeek CWT: 1,54"
"Does NOT include records with null Status Week values"

Year,Survey Site,Sample,Head,Sampling Type Code,Source,Harvest,Gear Class,Date (CWT),Stat Week (CWT),Period,Region,Water Type Code,Quadrant,Seine Area,District,Sub-District,A-Stream / Canada Watershed,Species,Clip Status,Length,Length Type Code,Tag Code,Tag Status,Why Status-7 Code,Year Brood,State,Agency,Rearing Code,Location (Facility or Wild Stock),Site,Tag Ratio Type,Tag Ratio,Expansion Factor,Contribution,Year Release,Release Stage
"2019","KETCHIKAN","19066531","770379","R","COM PROP","TRAD","PURSE","7/31/2019","31","3","1","S","SW","SASO","104","10",,"CHIN","GOOD","755","02","185361","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.038","3.16168","3.28182","2016","SMOLT",
"2019","KETCHIKAN","19066535","770788","R","COM PROP","TRAD","PURSE","7/31/2019","31","3","1","S","SW","SASO","104",,,"CHIN","GOOD","810","02","185361","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.038","3.16168","3.28182","2016","SMOLT",
"2019","KETCHIKAN","19066548","770933","R","COM PROP","TRAD","PURSE","7/31/2019","31","3","1","S","SW","SASO","104",,,"CHIN","GOOD","800","02","185361","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.038","3.16168","3.28182","2016","SMOLT",
"2019","SITKA","19036295","763276","R","COM PROP","SP TROLL","TROLL","5/25/2019","21","2","1","S","NW",,"113","41",,"CHIN","GOOD","730","02","185361","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.038","1.39252","1.44544","2016","SMOLT",
"2019","SITKA","19036705","250016","R","COM PROP","SP TROLL","TROLL","6/20/2019","25","3","1","S","NW",,"113","41",,"CHIN","GOOD","750","02","185361","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.038","1.40088","1.45411","2016","SMOLT",
"2019","SITKA","19036735","776432","R","COM PROP","SP TROLL","TROLL","6/21/2019","25","3","1","S","NW",,"113","62",,"CHIN","GOOD","725","02","185361","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.038","1.33855","1.38941","2016","SMOLT",
"2019","SITKA","19036040","774722","R","COM PROP","TRAD","TROLL","1/27/2019","5","1","1","S","NW",,"113","41",,"CHIN","GOOD","710","02","185361","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.038","3.2234","3.34589","2016","SMOLT",
"2019","SITKA","19036102","774744","R","COM PROP","TRAD","TROLL","2/12/2019","7","1","1","S","NE",,"109","10",,"CHIN","GOOD","745","02","185361","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.038","1.52094","1.57874","2016","SMOLT",
"2019","SITKA","19036185","775140","R","COM PROP","TRAD","TROLL","3/13/2019","11","1","1","S","NE",,"109","10",,"CHIN","GOOD","660","02","185361","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.038","1.52094","1.57874","2016","SMOLT",
"2019","SITKA","19037000","779077","R","COM PROP","TRAD","TROLL","7/5/2019","27","4","1","S","NW",,"113","21",,"CHIN","GOOD","695","02","185361","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.038","3.07418","3.191","2016","SMOLT",
"2019","SITKA","19031486","734295","R","SPORT",,,"6/21/2019","25",,"1","S","NW",,"113","31",,"CHIN","GOOD","700","02","185361","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.038","4.59028","4.76471","2016","SMOLT",
"2019","KETCHIKAN","19061247","562740","R","SPORT",,,"7/7/2019","28",,"1","S","SE",,"102","50",,"CHIN","GOOD","760","02","185361","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.038","1.59375","1.65431","2016","SMOLT",
"2019","CRAIG","19072391","764300","R","SPORT",,,"8/19/2019","34",,"1","S","SW",,"104","40",,"CHIN","NOT CLIPPED","730","02","185361","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","ELECTRONIC","1.038",,,"2016","SMOLT",
"2019","KETCHIKAN","19066539","770694","R","COM PROP","TRAD","PURSE","7/31/2019","31","3","1","S","SW","SASO","104",,,"CHIN","GOOD","810","02","185362","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.033","3.16168","3.26602","2016","SMOLT",
"2019","YAKUTAT","19146010","756406","R","COM PROP","SP TROLL","TROLL","5/6/2019","19","2","1","S","NW",,"183","10",,"CHIN","GOOD","665","02","185362","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.033","1.04783","1.08241","2016","SMOLT",
"2019","CRAIG","19076170","765533","R","COM PROP","SP TROLL","TROLL","5/22/2019","21","2","1","S","SW",,"103","50",,"CHIN","GOOD","720","02","185362","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.033","1.27135","1.3133","2016","SMOLT",
"2019","CRAIG","19076166","765529","R","COM PROP","SP TROLL","TROLL","5/22/2019","21","2","1","S","SW",,"103","50",,"CHIN","GOOD","720","02","185362","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.033","1.27135","1.3133","2016","SMOLT",
"2019","SITKA","19036452","776405","R","COM PROP","SP TROLL","TROLL","6/5/2019","23","3","1","S","NW",,"113","32",,"CHIN","GOOD","665","02","185362","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.033","1.72727","1.78427","2016","SMOLT",
"2019","YAKUTAT","19146055","756425","R","COM PROP","SP TROLL","TROLL","6/13/2019","24","3","1","S","NW",,"183","10",,"CHIN","GOOD","720","02","185362","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.033","1.00388","1.03701","2016","SMOLT",
"2019","SITKA","19036713","774849","R","COM PROP","SP TROLL","TROLL","6/19/2019","25","3","1","S","NW",,"113","32",,"CHIN","GOOD","675","02","185362","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.033","1.72727","1.78427","2016","SMOLT",
"2019","YAKUTAT","19146070","756439","R","COM PROP","SP TROLL","TROLL","6/27/2019","26","3","1","S","NW",,"183","10",,"CHIN","GOOD","705","02","185362","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.033","1.00388","1.03701","2016","SMOLT",
"2019","SITKA","19036037","774721","R","COM PROP","TRAD","TROLL","1/21/2019","4","1","1","S","NW",,"113",,,"CHIN","GOOD","680","02","185362","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.033","3.2234","3.32977","2016","SMOLT",
"2019","CRAIG","19076080","766874","R","COM PROP","TRAD","TROLL","3/5/2019","10","1","1","S","NE",,"109","61",,"CHIN","GOOD","670","02","185362","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.033","1.52094","1.57113","2016","SMOLT",
"2019","SITKA","19037054","776208","R","COM PROP","TRAD","TROLL","7/4/2019","27","4","1","S","NW",,"116","11",,"CHIN","GOOD","645","02","185362","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.033","3.07418","3.17563","2016","SMOLT",
"2019","SITKA","19037037","775208","R","COM PROP","TRAD","TROLL","7/5/2019","27","4","1","S","NW",,"113","21",,"CHIN","GOOD",,,"185362","OK",,"2015","BC","CDFO","H","H-ROBERTSON CREEK H","R-NAHMINT R","SINGLE INDEX","1.033","3.07418","3.17563","2016","SMOLT",
